,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-05-13,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,28600500.0,4.8,19.182929611206056,19.09958267211914,43.18015424346964,12.971977205190765,0.1348103124247074,30216900.0,18.345680236816406,2046.6099853515625
2016-05-14,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,41234100.0,4.8,19.148017819722494,18.986019406999866,33.015246690494784,14.482169563586693,0.1637223895000492,-11017200.0,18.345680236816406,2046.6099853515625
2016-05-15,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,41234100.0,4.8,19.116378211975096,18.87245614188058,33.015246690494784,15.884491039240055,0.1520279331071885,-11017200.0,18.345680236816406,2046.6099853515625
2016-05-16,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,41234100.0,4.8,19.082307942708333,18.7588928767613,33.015246690494784,17.186646695203894,0.1411687950281036,-11017200.0,18.650781631469727,2066.659912109375
2016-05-17,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,30545400.0,4.8,19.058407719930013,18.66087068830217,42.56399332797951,17.024218629687315,0.1528782664299048,19528200.0,18.39088249206543,2047.2099609375
2016-05-18,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,27758100.0,4.8,19.025844192504884,18.53213119506836,37.64152480671336,17.578990815501673,0.1605226144995042,-8229900.0,17.840002059936523,2047.6300048828125
2016-05-19,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,66767700.0,4.8,18.967439397176108,18.40056664603097,29.780061963008887,19.21953492900786,0.1884053157587472,-74997600.0,19.54914093017578,2040.0400390625
2016-05-20,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,105230100.0,4.8,18.966847229003907,18.49540683201381,58.64101699276202,19.08408820121735,0.2970291410787837,30232500.0,19.73559761047364,2052.320068359375
2016-05-21,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,50239800.0,4.8,18.97770551045736,18.693966456821983,60.54614842528676,19.23080981121533,0.28913110816586,80472300.0,19.73559761047364,2052.320068359375
2016-05-22,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,50239800.0,4.8,18.99548136393229,18.89252608163016,60.54614842528676,19.36705130621346,0.2684788861540129,80472300.0,19.73559761047364,2052.320068359375
2016-05-23,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,50239800.0,4.8,19.01092020670573,19.09108570643834,60.54614842528676,19.493561265854584,0.2493018228572976,80472300.0,19.633888244628903,2048.0400390625
2016-05-24,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,30299400.0,4.8,19.02296873728434,19.23152950831822,58.70385516586184,19.34731147478763,0.2387595044992569,50172900.0,19.84294319152832,2076.06005859375
2016-05-25,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,26484000.0,4.8,19.04198576609293,19.43896675109864,61.3097560633325,19.584187775148862,0.2366377503849824,76656900.0,19.910737991333008,2090.5400390625
2016-05-26,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,21791700.0,4.8,19.05625120798747,19.73478616986956,62.14402004767876,19.92343900277166,0.224577539629247,98448600.0,20.01526641845703,2090.10009765625
2016-05-27,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,26081700.0,4.8,19.07559032440185,19.801375525338308,63.45254463630427,20.425552858470656,0.216002603021731,124530300.0,19.987022399902344,2099.06005859375
2016-05-28,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,17321100.0,4.8,19.09286613464356,19.837293352399552,62.82067606140501,20.801368549770057,0.2025912755597994,107209200.0,19.987022399902344,2099.06005859375
2016-05-29,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,17321100.0,4.8,19.11490961710612,19.8732111794608,62.82067606140501,21.1503402631195,0.1881204701626708,107209200.0,19.987022399902344,2099.06005859375
2016-05-30,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,17321100.0,4.8,19.15602366129557,19.909129006522043,62.820676061405,21.47438542551541,0.1746832937224801,107209200.0,19.987022399902344,2099.06005859375
2016-05-31,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,17321100.0,4.8,19.197137705485027,19.959576742989675,62.82067606140501,21.775284504883043,0.1622059155994458,107209200.0,19.995492935180664,2096.949951171875
2016-06-01,0.0407173937558917,0.0107847646212462,0.29,3.53,0.33,0.84,11.88,0.5951156151135575,25170600.0,4.8,19.238534100850423,19.98136956351144,62.96942752263196,22.075958848145763,0.1512248170050797,132379800.0,19.916399002075195,2099.330078125
2016-06-02,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,21662700.0,4.9,19.27056318918864,19.98217827933175,60.53399506708273,22.006624270547125,0.1460726110122503,110717100.0,20.04351806640625,2105.260009765625
2016-06-03,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,19526100.0,4.9,19.312345250447592,19.986214229038783,63.01016762509792,22.296277218190635,0.1447187862493077,130243200.0,20.020919799804688,2099.1298828125
2016-06-04,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,19123500.0,4.9,19.35159753163656,19.99105671473912,62.2622875942181,22.45822718823886,0.1359958919887545,111119700.0,20.020919799804688,2099.1298828125
2016-06-05,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,19123500.0,4.9,19.390663146972656,19.995899200439453,62.2622875942181,22.608609303283647,0.1262818997038435,111119700.0,20.020919799804688,2099.1298828125
2016-06-06,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,19123500.0,4.9,19.420006370544435,20.000741686139783,62.26228759421812,22.748249838682373,0.1172617640107118,111119700.0,20.07176780700684,2109.409912109375
2016-06-07,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,27054000.0,4.9,19.45104452768961,20.012848172869003,63.48043476320444,23.052065030433905,0.1125179242386715,138173700.0,20.06612014770508,2112.1298828125
2016-06-08,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,22090200.0,4.9,19.48189442952474,20.022937774658203,63.23627745841327,23.29924477626195,0.1048843338860349,116083500.0,20.136743545532227,2119.1201171875
2016-06-09,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,18417000.0,4.9,19.508554649353027,20.05441556658064,65.04671136657254,23.787568106912,0.102437124167543,134500500.0,20.08306884765625,2115.47998046875
2016-06-10,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,18209700.0,4.9,19.534921646118164,20.06006567818778,62.52652213448911,23.88045628886768,0.0989540937181454,116290800.0,20.09719467163086,2096.070068359375
2016-06-11,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,22534200.0,4.9,19.57946300506592,20.07096208844866,62.93354399622639,24.02489401268613,0.0928949315936071,138825000.0,20.09719467163086,2096.070068359375
2016-06-12,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,22534200.0,4.9,19.61986083984375,20.081858498709543,62.93354399622639,24.15901475623184,0.0862595793369209,138825000.0,20.09719467163086,2096.070068359375
2016-06-13,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,22534200.0,4.9,19.678244654337565,20.092754908970424,62.93354399622639,24.28355544666713,0.0800981808128551,138825000.0,19.92486953735352,2079.06005859375
2016-06-14,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,23722800.0,4.9,19.730884297688803,20.07176944187709,53.99730623190892,23.120999356034226,0.0866858203460329,115102200.0,20.04351806640625,2075.320068359375
2016-06-15,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,27199200.0,4.9,19.787478892008465,20.06854057312012,58.37937820885452,22.66795164553168,0.0889688709679401,142301400.0,20.091541290283203,2071.5
2016-06-16,0.0407173937558917,0.0107928653479594,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,24051000.0,4.9,19.83550421396892,20.062083108084543,60.03862249331918,22.484442806598725,0.0860441818900125,166352400.0,20.14239501953125,2077.989990234375
2016-06-17,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,20115600.0,4.9,19.89388796488444,20.07055827549525,61.77638224344509,22.56242559879079,0.0835305781298721,186468000.0,20.04351806640625,2071.219970703125
2016-06-18,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,54177900.0,4.9,19.96733849843343,20.0628901890346,56.62075084514595,21.89763699753295,0.0846267477723812,132290100.0,20.04351806640625,2071.219970703125
2016-06-19,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,54177900.0,4.9,19.98381773630778,20.05522210257394,56.62075084514595,21.280333296364955,0.078581980074354,132290100.0,20.04351806640625,2071.219970703125
2016-06-20,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,54177900.0,4.9,19.994081751505533,20.04755401611328,56.62075084514595,20.70712271670896,0.0729689814976144,132290100.0,20.085899353027344,2083.25
2016-06-21,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,21427500.0,4.9,20.005758476257324,20.07055827549525,58.47595681978224,20.44002962902876,0.0707841461492915,153717600.0,20.187599182128903,2088.89990234375
2016-06-22,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,20024400.0,4.9,20.0208251953125,20.091141292027064,62.6084688168874,20.7826351902476,0.0729924092173108,173742000.0,20.2695255279541,2085.449951171875
2016-06-23,0.0407173937558917,0.0107928653479594,0.38,3.53,0.33,0.84,11.88,0.5951156151135575,25372500.0,4.9,20.04201310475668,20.116567611694336,65.580208533156,21.52544013683949,0.0736305475464454,199114500.0,20.36839485168457,2113.320068359375
2016-06-24,0.0407173937558917,0.0107928653479594,0.39,3.53,0.33,0.84,11.88,0.5951156151135575,20910600.0,4.9,20.059528160095216,20.14885330200196,68.80260190772428,22.675629584696622,0.0754333172738757,220025100.0,20.32884788513184,2037.4100341796875
